event_id,log,source,category,subcategory,description,sample,reference,how_to_collect
6419,Security,Microsoft Windows Security Auditing,Removable Media / Device (PNP),,A request was made to disable a device,,PNP Activity auditing,Audit PNP Activity
6420,Security,Microsoft Windows Security Auditing,Removable Media / Device (PNP),,A device was disabled.,,PNP Activity auditing,Audit PNP Activity
6421,Security,Microsoft Windows Security Auditing,Removable Media / Device (PNP),,A request was made to enable a device.,,PNP Activity auditing,Audit PNP Activity
6422,Security,Microsoft Windows Security Auditing,Removable Media / Device (PNP),,A device was enabled.,,PNP Activity auditing,Audit PNP Activity
6423,Security,Microsoft Windows Security Auditing,Removable Media / Device (PNP),,The installation of this device is forbidden by system policy.,,PNP Activity auditing,Audit PNP Activity
6424,Security,Microsoft Windows Security Auditing,Removable Media / Device (PNP),,"The installation of this device was allowed, after having previously been forbidden by policy.",,PNP Activity auditing,Audit PNP Activity
41,System,EventLog / Kernel-Power / USER32,Shutdown / Restart,,The system has rebooted without cleanly shutting down first (kernel-power / unexpected shutdown).,,docs/event-log-operations.md,
1074,System,EventLog / Kernel-Power / USER32,Shutdown / Restart,,The process X has initiated the restart/shutdown of computer on behalf of user Y for reason Z.,,docs/event-log-operations.md,
1076,System,EventLog / Kernel-Power / USER32,Shutdown / Restart,,The reason supplied by user Y for the last unexpected shutdown of this computer.,,docs/event-log-operations.md,
6006,System,EventLog / Kernel-Power / USER32,Shutdown / Restart,,The Event log service was stopped (clean shutdown marker).,,docs/event-log-operations.md,
20001,System,UserPnp,Removable Media / Device (PNP),7005,Driver management concluded the process to install driver,,,
20005,System,UserPnp,Removable Media / Device (PNP),7005,Driver management has restricted the installation of device instance ID,,,
