service,category,operation,provider,resource_type,gap_filled
logshipping,Administrative,MICROSOFT.EVENTGRID/EVENTSUBSCRIPTIONS/DELETE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.EVENTGRID/EVENTSUBSCRIPTIONS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.MANAGEDIDENTITY/USERASSIGNEDIDENTITIES/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/AZUREFIREWALLS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/LOADBALANCERS/READ,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/NETWORKINTENTPOLICIES/DELETE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/NETWORKINTENTPOLICIES/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/VIRTUALNETWORKS/DELETE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/VIRTUALNETWORKS/REMOTEVIRTUALNETWORKPEERINGPROXIES/DELETE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/VIRTUALNETWORKS/REMOTEVIRTUALNETWORKPEERINGPROXIES/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/VIRTUALNETWORKS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/VIRTUALWANS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.RECOVERYSERVICES/VAULTS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.RESOURCES/SUBSCRIPTIONS/RESOURCEGROUPS/DELETE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.RESOURCES/SUBSCRIPTIONS/RESOURCEGROUPS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.RESOURCES/TAGS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.SECURITY/ADVANCEDTHREATPROTECTIONSETTINGS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.SECURITY/DEFENDERFORSTORAGESETTINGS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.SERVICEBUS/NAMESPACES/QUEUES/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.SQL/MANAGEDINSTANCES/DISTRIBUTEDAVAILABILITYGROUPS/DELETE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.SQL/MANAGEDINSTANCES/DISTRIBUTEDAVAILABILITYGROUPS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.SQL/SERVERS/DATABASES/READ,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.STORAGE/STORAGEACCOUNTS/DELETE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.STORAGE/STORAGEACCOUNTS/FILESERVICES/SHARES/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.STORAGE/STORAGEACCOUNTS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.SUPPORT/CLASSIFYSERVICES/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.WEB/REGISTER/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.WEB/SITES/START/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.WEB/SITES/STOP/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.WEB/SITES/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,Microsoft.Sql/servers/firewallRules/delete,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,Microsoft.Sql/servers/firewallRules/write,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,Microsoft.Sql/servers/write,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,Remove request,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,AuditEvent,AccessPolicyMerge,Microsoft.KeyVault,vaults,
logshipping,AuditEvent,CertificateContactsGet,Microsoft.KeyVault,vaults,
logshipping,AuditEvent,CertificateContactsSet,Microsoft.KeyVault,vaults,
logshipping,AuditEvent,KeyUnwrap,Microsoft.KeyVault,vaults,
logshipping,AuditEvent,SecretExpiredEventGridNotification,Microsoft.KeyVault,vaults,
logshipping,AuditEvent,SecretGet,Microsoft.KeyVault,vaults,
logshipping,AuditEvent,SecretList,Microsoft.KeyVault,vaults,
logshipping,AuditEvent,SecretResourceGet,Microsoft.KeyVault,vaults,
logshipping,AuditEvent,SecretSet,Microsoft.KeyVault,vaults,
logshipping,AutomaticTuning,AutomaticTuningSettingsSnapshotEvent,Microsoft.Sql,servers/databases,
logshipping,AutoscaleEvaluationPooled,ScalingEvaluationSummary,Microsoft.DesktopVirtualization,hostpools,
logshipping,AzureFirewallNetworkRule,AzureFirewallDNSResolutionFailureLog,Microsoft.Network,azureFirewalls,
logshipping,AzureOpenAIRequestUsage,completion,Microsoft.CognitiveServices,accounts,
logshipping,AzureOpenAIRequestUsage,embeddings,Microsoft.CognitiveServices,accounts,
logshipping,Blocks,BlockEvent,Microsoft.Sql,servers/databases,
logshipping,ContainerRegistryLoginEvents,Login,Microsoft.ContainerRegistry,registries,
logshipping,DatabaseWaitStatistics,DatabaseWaitStatistcsEvent,Microsoft.Sql,servers/databases,
logshipping,Deadlocks,DeadlockEvent,Microsoft.Sql,servers/databases,
logshipping,Error,LookupSessionHostInPoolWithLoadBalancer,Microsoft.DesktopVirtualization,hostpools,
logshipping,FrontDoorHealthProbeLog,Microsoft.Cdn/Profiles/FrontDoorHealthProbeLog/Write,Microsoft.Cdn,profiles,
logshipping,GatewayDiagnosticLog,SetGatewayConfiguration,Microsoft.Network,virtualNetworkGateways,
logshipping,NetworkData,Microsoft.DesktopVirtualization/HOSTPOOLS/Write,Microsoft.DesktopVirtualization,hostpools,
logshipping,OperationLogs,DataSources.Put,Microsoft.Search,searchServices,
logshipping,OperationLogs,Indexes.Delete,Microsoft.Search,searchServices,
logshipping,OperationLogs,Indexes.Update,Microsoft.Search,searchServices,
logshipping,Policy,MICROSOFT.AUTHORIZATION/POLICIES/AUDIT/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Policy,MICROSOFT.AUTHORIZATION/POLICIES/AUDITIFNOTEXISTS/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,ResourceHealth,Microsoft.Resourcehealth/healthevent/InProgress/action,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,ResourceHealth,Microsoft.Resourcehealth/healthevent/Resolved/action,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,StorageDelete,DeleteFile,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageDelete,DeleteTable,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,FilePreflightRequest,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,GetBlobTags,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,GetDirectoryProperties,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,GetFileServiceProperties,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,GetFilesystemProperties,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,GetQueueMetadata,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,GetShareStats,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,GetTableServiceProperties,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,ListBlobs,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,ListContainers,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,ListShares,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,PeekMessage,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,QueryInfo,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,TablePreflightRequest,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,AcquireBlobLease,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,AcquireContainerLease,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,AcquireShareLease,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,AppendBlock,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,CopyBlobSource,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,CreateContainer,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,CreateShare,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,InsertOrMergeEntity,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,InsertOrReplaceEntity,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,Ioctl,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,SetContainerACL,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,SnapshotShare,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,Write,Microsoft.Storage,storageAccounts/blobServices,
logshipping,Timeouts,TimeoutEvent,Microsoft.Sql,servers/databases,
logshipping,WorkflowRuntime,Microsoft.Logic/workflows/workflowActionCompleted,Microsoft.Web,sites,
logshipping,WorkflowRuntime,Microsoft.Logic/workflows/workflowTriggerStarted,Microsoft.Web,sites,
identity,AuditLogs,Add eligible member to role in PIM completed (permanent),Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Add member to role completed (PIM activation),Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Add member to role in PIM requested (permanent),Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Add owner to group,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Add registered users to device,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Add service principal,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Add user,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Add user sponsor,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Admin deleted security info,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Administrator directly removes user access package assignment,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Bulk Approve decisions,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Change user license,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Change user password,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Create application – Certificates and secrets management,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Create business flow,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Delete access package assignment for a deleted user,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Delete access package catalog,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Delete group,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Delete request,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,DeleteBulkJob,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Enable account,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Exchange token,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Execution,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Get Api connectors,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Get B2C directory resource,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Get Guest Usages resources in a subscription,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Get tenant details,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,GroupLifecyclePolicies_Get,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Initialize tenant,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Issue an authorization code to the application,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,PATCH UserAuthMethod.PatchSignInPreferencesAsync,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Pre-create device,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Process role removal request,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Read BitLocker key,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Remove eligible member from group,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Remove member from role,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Restore device,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Self-service password reset flow activity progress,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Set group license,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Synchronization rule action,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Unregister device,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Update access package catalog,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Update group,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,User changed password,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,User started password reset,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Validate local account credentials,Microsoft.AADIAM,diagnosticSettings,
identity,UserRiskEvents,User Risk Detection,Microsoft.AADIAM,diagnosticSettings,
intunelogshipping,AuditLogs,Create MobileAppRelationship,Microsoft.Intune,diagnosticSettings,
intunelogshipping,AuditLogs,Delete NotificationMessageTemplate,Microsoft.Intune,diagnosticSettings,
intunelogshipping,AuditLogs,assignDeviceHealthScript DeviceHealthScript,Microsoft.Intune,diagnosticSettings,
intunelogshipping,AuditLogs,cleanWindowsDevice ManagedDevice,Microsoft.Intune,diagnosticSettings,
intunelogshipping,AuditLogs,rotateLocalAdminPassword ManagedDevice,Microsoft.Intune,diagnosticSettings,
intunelogshipping,OperationalLogs,ESPEnrollment,Microsoft.Intune,diagnosticSettings,
intunelogshipping,OperationalLogs,Enrollment,Microsoft.Intune,diagnosticSettings,
logshipping,Administrative,Add eligible member to role in PIM requested (timebound),Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,Add member to role approval requested (PIM activation),Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.APIMANAGEMENT/SERVICE/APIS/READ,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.APIMANAGEMENT/SERVICE/NAMEDVALUES/READ,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.AUTHORIZATION/LOCKS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.AUTHORIZATION/ROLEASSIGNMENTSCHEDULEREQUESTS/VALIDATE/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.AUTHORIZATION/ROLEASSIGNMENTSCHEDULEREQUESTS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.COMPUTE/VIRTUALMACHINES/READ,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.COMPUTESCHEDULE/LOCATIONS/VIRTUALMACHINESGETOPERATIONERRORS/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.CONSUMPTION/BUDGETS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.CONTAINERREGISTRY/REGISTRIES/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.KEYVAULT/REGISTER/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.KEYVAULT/VAULTS/ACCESSPOLICIES/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/FIREWALLPOLICIES/READ,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/LOADBALANCERS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/PRIVATEDNSZONES/A/DELETE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/PRIVATEDNSZONES/A/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/PRIVATEENDPOINTS/DELETE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/PRIVATEENDPOINTS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/VIRTUALHUBS/HUBVIRTUALNETWORKCONNECTIONS/DELETE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/VIRTUALHUBS/HUBVIRTUALNETWORKCONNECTIONS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/VIRTUALNETWORKS/SUBNETS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.RECOVERYSERVICES/VAULTS/BACKUPFABRICS/PROTECTIONCONTAINERS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.SQL/MANAGEDINSTANCES/AZUREADONLYAUTHENTICATIONS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.SQL/MANAGEDINSTANCES/DELETE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.SQL/MANAGEDINSTANCES/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.SQL/SERVERS/ADMINISTRATORS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.STORAGE/STORAGEACCOUNTS/BLOBSERVICES/CONTAINERS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.STORAGE/STORAGEACCOUNTS/FILESERVICES/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.WEB/SITES/RESTART/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,Microsoft.Compute/virtualMachines/installPatches/action,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,Microsoft.Compute/virtualMachines/upgradeVMExtensions/action,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,Microsoft.Sql/servers/connectionPolicies/write,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,Microsoft.Sql/servers/databases/write,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,Microsoft.Support/supportTickets/write,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,PIM activation request expired,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,Remove member from role (PIM activation expired),Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,AppServiceAppLogs,Microsoft.Web/sites/log,Microsoft.Web,sites,
logshipping,AppServiceFileAuditLogs,Microsoft.Web/sites/fileauditlogs,Microsoft.Web,sites,
logshipping,ApplicationGatewayAccessLog,ApplicationGatewayAccess,Microsoft.Network,applicationGateways,
logshipping,ApplicationGatewayFirewallLog,ApplicationGatewayFirewall,Microsoft.Network,applicationGateways,
logshipping,AuditEvent,KeyList,Microsoft.KeyVault,vaults,
logshipping,AuditEvent,VaultPut,Microsoft.KeyVault,vaults,
logshipping,Autoscale,HostPoolLoadBalancerTypeUpdated,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,AzureFirewallDnsProxy,AzureFirewallDnsProxyLog,Microsoft.Network,azureFirewalls,
logshipping,AzureFirewallNetworkRule,AzureFirewallIDSLog,Microsoft.Network,azureFirewalls,
logshipping,ConnectionGraphicsData,Microsoft.DesktopVirtualization/HOSTPOOLS/Write,Microsoft.DesktopVirtualization,hostpools,
logshipping,ContainerRegistryRepositoryEvents,Pull,Microsoft.ContainerRegistry,registries,
logshipping,Error,ClientCrash,Microsoft.DesktopVirtualization,hostpools,
logshipping,Error,ClientOrchestration,Microsoft.DesktopVirtualization,hostpools,
logshipping,Error,ConnectionEstablished,Microsoft.DesktopVirtualization,hostpools,
logshipping,Error,DiagnosticsTimeoutActivity,Microsoft.DesktopVirtualization,hostpools,
logshipping,Error,GetWERInformation,Microsoft.DesktopVirtualization,hostpools,
logshipping,FrontDoorAccessLog,Microsoft.Cdn/Profiles/AccessLog/Write,Microsoft.Cdn,profiles,
logshipping,FrontDoorWebApplicationFirewallLog,Microsoft.Cdn/Profiles/WebApplicationFirewallLog/Write,Microsoft.Cdn,profiles,
logshipping,FunctionAppLogs,Microsoft.Web/sites/functions/log,Microsoft.Web,sites,
logshipping,Management,Management,Microsoft.DesktopVirtualization,hostpools,
logshipping,OperationLogs,DataSources.List,Microsoft.Search,searchServices,
logshipping,OperationLogs,Indexers.List,Microsoft.Search,searchServices,
logshipping,OperationLogs,Indexers.Status,Microsoft.Search,searchServices,
logshipping,OperationLogs,Indexing.Index,Microsoft.Search,searchServices,
logshipping,QueryStoreRuntimeStatistics,QueryStoreRuntimeStatisticsEvent,Microsoft.Sql,servers/databases,
logshipping,RequestResponse,Creates an embedding vector representing the input text.,Microsoft.CognitiveServices,accounts,
logshipping,RequestResponse,Projects_Wildcard_Get,Microsoft.CognitiveServices,accounts,
logshipping,RequestResponse,post,Microsoft.CognitiveServices,accounts,
logshipping,ResourceHealth,Microsoft.Resourcehealth/healthevent/Updated/action,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,StorageDelete,Close,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageDelete,DeleteBlob,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageDelete,DeleteContainer,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageDelete,DeleteShare,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,BlobPreflightRequest,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,GetBlobServiceProperties,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,GetContainerServiceMetadata,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,GetFileProperties,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,GetPageRanges,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,QueryTables,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,Cancel,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,Close,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,CopyBlob,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,Flush,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,InsertEntity,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,PutMessage,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,PutPage,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,PutRange,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,ReleaseBlobLease,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,ReleaseShareLease,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,RenewBlobLease,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,RenewContainerLease,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,SetBlobTags,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,SetDirectoryMetadata,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,SetDirectoryProperties,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,TreeConnect,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,TreeDisconnect,Microsoft.Storage,storageAccounts/blobServices,
logshipping,TunnelDiagnosticLog,TunnelConnected,Microsoft.Network,virtualNetworkGateways,
logshipping,TunnelDiagnosticLog,TunnelDisconnected,Microsoft.Network,virtualNetworkGateways,
logshipping,WorkflowRuntime,Microsoft.Logic/workflows/workflowRunCompleted,Microsoft.Web,sites,
identity,AuditLogs,Add eligible member to group,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Add eligible member to role in PIM requested (timebound),Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Add group,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Add member to role,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Add member to role approval requested (PIM activation),Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Add member to role canceled (PIM activation),Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Add service principal credentials,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,ApprovalNotification_Delete,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Auto approve access package assignment request,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Cancel access package assignment request,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Change password (self-service),Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Create access package,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Create access package resource role scope,Microsoft.AADIAM,diagnosticSettings,
