service,category,operation,provider,resource_type,gap_filled
logshipping,Administrative,Add member to role requested (PIM activation),Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.APIMANAGEMENT/SERVICE/APIS/OPERATIONS/READ,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.APIMANAGEMENT/SERVICE/APIS/POLICIES/READ,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.APIMANAGEMENT/SERVICE/APIS/SCHEMAS/READ,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.APIMANAGEMENT/SERVICE/IDENTITYPROVIDERS/READ,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.APIMANAGEMENT/SERVICE/SUBSCRIPTIONS/READ,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.APIMANAGEMENT/SERVICE/USERS/TOKEN/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.COMPUTE/RESTOREPOINTCOLLECTIONS/RESTOREPOINTS/RETRIEVESASURIS/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.COMPUTE/VIRTUALMACHINES/DEALLOCATE/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.COMPUTE/VIRTUALMACHINES/DELETE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.COMPUTE/VIRTUALMACHINES/EXTENSIONS/READ,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.COMPUTE/VIRTUALMACHINES/START/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.COMPUTE/VIRTUALMACHINES/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.COMPUTESCHEDULE/LOCATIONS/VIRTUALMACHINESEXECUTESTART/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.COMPUTESCHEDULE/LOCATIONS/VIRTUALMACHINESGETOPERATIONSTATUS/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.DESKTOPVIRTUALIZATION/HOSTPOOLS/SESSIONHOSTS/USERSESSIONS/SENDMESSAGE/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.EVENTGRID/REGISTER/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.GUESTCONFIGURATION/GUESTCONFIGURATIONASSIGNMENTS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.INSIGHTS/COMPONENTS/ANNOTATIONS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.INSIGHTS/METRICALERTS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.KEYVAULT/VAULTS/DELETE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.KEYVAULT/VAULTS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/FIREWALLPOLICIES/CERTIFICATES/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/FIREWALLPOLICIES/VALIDATE/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/FIREWALLPOLICIES/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/FRONTDOORWEBAPPLICATIONFIREWALLPOLICIES/READ,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/IPGROUPS/READ,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/NETWORKINTERFACES/DELETE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/NETWORKINTERFACES/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/NETWORKSECURITYGROUPS/DELETE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/NETWORKSECURITYGROUPS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/PRIVATEENDPOINTS/PRIVATEDNSZONEGROUPS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/PRIVATEENDPOINTS/PRIVATELINKSERVICEPROXIES/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/PUBLICIPADDRESSES/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/ROUTETABLES/DELETE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/ROUTETABLES/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/VIRTUALNETWORKS/SUBNETS/PREPARENETWORKPOLICIES/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.RECOVERYSERVICES/VAULTS/BACKUPFABRICS/PROTECTIONCONTAINERS/PROTECTEDITEMS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.RESOURCES/DEPLOYMENTS/OPERATIONSTATUSES/READ,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.SEARCH/SEARCHSERVICES/LISTQUERYKEYS/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.SEARCH/SEARCHSERVICES/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
